Place of Residence,Age Group,Gender,Total,Portuguesa,Estrangeira,Europa,Alemanha,Áustria,Bélgica,Bulgária,Espanha,França,Irlanda,Itália,Luxemburgo,Países Baixos,Polónia,Roménia,Suécia,Federação da Rússia,Suíça,Ucrânia,África,África do Sul,Angola,Cabo Verde,Guiné-Bissau,Moçambique,São Tomé e Príncipe,América,Canadá,Estados Unidos da América,Argentina,Brasil,Venezuela,Ásia,Bangladeche,China,Índia,Nepal,Paquistão,Oceânia,freguesia_code,municipio,region
Sintra,Total,H,181792,149372,32420,4826,354,13,103,50,250,908,20,145,54,84,11,531,29,131,162,912,17798,195,6438,4593,2875,1914,1049,7920,44,147,30,7246,296,1852,255,367,528,210,143,24,1111,Sintra,Grande Lisboa
Sintra,Total,M,203814,163619,40195,5210,383,9,91,64,267,979,20,98,51,73,41,570,31,238,155,1090,23239,233,8651,6510,3152,2430,1618,10210,59,136,39,9371,377,1497,101,392,320,140,99,39,1111,Sintra,Grande Lisboa
Sintra,0 - 4 anos,H,9189,8779,410,125,8,0,4,0,20,18,1,3,1,5,0,2,0,2,3,6,112,4,61,17,15,2,9,148,0,9,0,135,3,25,5,5,4,1,4,0,1111,Sintra,Grande Lisboa
Sintra,0 - 4 anos,M,8839,8400,439,110,8,1,3,0,10,15,3,2,3,0,0,4,1,2,9,3,128,3,63,24,19,4,8,170,0,11,0,149,6,29,1,9,4,1,1,2,1111,Sintra,Grande Lisboa
Sintra,5 - 9 anos,H,9262,8156,1106,199,7,1,8,0,18,35,2,3,1,6,0,6,2,5,14,17,381,6,201,62,59,7,27,454,3,12,0,415,17,70,10,6,19,8,8,2,1111,Sintra,Grande Lisboa
Sintra,5 - 9 anos,M,8985,7942,1043,186,12,0,9,0,5,27,4,4,3,5,1,4,1,6,11,20,379,3,196,68,53,14,21,403,3,13,1,368,11,72,7,14,12,3,11,3,1111,Sintra,Grande Lisboa
Sintra,10 - 14 anos,H,10439,9157,1282,183,7,1,9,1,24,19,1,7,4,4,0,6,0,6,5,23,600,4,268,143,111,11,40,424,0,10,1,387,16,74,4,22,14,9,9,1,1111,Sintra,Grande Lisboa
Sintra,10 - 14 anos,M,10189,8906,1283,195,4,0,5,2,33,16,2,8,7,3,0,13,4,4,8,26,600,3,231,160,113,13,50,418,1,9,2,381,19,67,5,22,9,6,5,3,1111,Sintra,Grande Lisboa
Sintra,15 - 19 anos,H,11337,9879,1458,178,11,0,5,1,16,17,3,10,3,0,0,16,2,7,7,27,766,4,207,274,170,11,53,448,1,9,1,422,9,66,3,27,12,10,7,0,1111,Sintra,Grande Lisboa
Sintra,15 - 19 anos,M,11086,9445,1641,158,7,0,7,2,16,11,2,7,6,3,0,13,2,2,11,18,923,8,288,313,170,14,91,499,3,16,0,467,7,61,7,15,7,9,9,0,1111,Sintra,Grande Lisboa
Sintra,20 - 24 anos,H,12124,9766,2358,299,13,1,6,5,12,27,1,9,6,1,2,31,0,7,18,69,1284,10,311,504,287,27,81,667,0,7,2,634,10,106,9,21,39,10,7,2,1111,Sintra,Grande Lisboa
Sintra,20 - 24 anos,M,12076,9462,2614,303,25,0,7,4,9,25,0,5,2,4,3,29,2,8,13,78,1546,7,456,622,272,34,111,691,1,2,1,650,24,71,13,15,4,13,9,3,1111,Sintra,Grande Lisboa
Sintra,25 - 29 anos,H,11770,8723,3047,377,20,0,9,4,16,36,3,13,4,6,1,36,0,8,41,81,1505,12,344,593,379,17,92,934,6,14,0,857,42,230,35,22,80,44,21,1,1111,Sintra,Grande Lisboa
Sintra,25 - 29 anos,M,12161,8842,3319,391,22,1,8,3,20,46,0,8,4,3,2,31,0,8,37,96,1762,11,390,765,363,25,164,1028,9,8,1,957,36,136,27,25,18,29,10,2,1111,Sintra,Grande Lisboa
Sintra,30 - 34 anos,H,11487,8256,3231,363,17,1,4,2,15,48,1,10,7,9,1,33,2,15,32,73,1519,17,387,536,361,12,139,1025,8,16,3,930,48,321,84,33,89,66,23,3,1111,Sintra,Grande Lisboa
Sintra,30 - 34 anos,M,12318,8494,3824,487,15,1,7,3,13,61,0,9,4,7,13,78,1,28,37,109,1958,24,460,841,353,28,197,1160,6,16,5,1051,57,206,24,46,45,43,19,13,1111,Sintra,Grande Lisboa
Sintra,35 - 39 anos,H,11934,8873,3061,475,21,2,7,9,17,90,2,14,6,4,3,85,1,14,16,93,1259,31,325,389,268,42,126,1095,3,14,7,1002,52,226,47,30,73,26,23,6,1111,Sintra,Grande Lisboa
Sintra,35 - 39 anos,M,13138,9268,3870,519,32,1,5,11,10,98,1,16,9,0,8,93,1,29,12,113,1726,37,456,597,353,43,177,1479,8,13,5,1374,53,144,6,34,27,16,15,2,1111,Sintra,Grande Lisboa
Sintra,40 - 44 anos,H,13683,10561,3122,659,63,2,6,7,28,157,1,15,10,6,1,109,4,17,2,113,1278,24,434,293,280,78,97,989,5,10,5,929,28,195,40,39,47,20,16,1,1111,Sintra,Grande Lisboa
Sintra,40 - 44 anos,M,15553,11368,4185,717,74,1,5,8,23,154,3,9,4,4,6,124,2,28,5,150,1896,35,650,538,343,132,136,1427,8,9,3,1326,48,144,5,60,28,14,7,1,1111,Sintra,Grande Lisboa
Sintra,45 - 49 anos,H,14828,11145,3683,768,82,1,16,9,12,241,2,9,9,12,1,85,2,22,3,155,2132,25,1058,294,241,367,71,635,8,13,3,568,24,146,12,54,26,11,16,2,1111,Sintra,Grande Lisboa
Sintra,45 - 49 anos,M,16897,12218,4679,836,89,0,5,11,23,290,0,6,6,15,3,89,4,35,3,148,2696,32,1287,458,310,403,139,1025,7,10,4,949,25,119,1,56,8,4,4,3,1111,Sintra,Grande Lisboa
Sintra,50 - 54 anos,H,13881,10708,3173,502,47,0,8,1,19,135,1,11,3,9,0,76,3,4,2,102,2108,34,948,370,221,375,95,457,4,3,1,412,22,105,3,46,10,3,6,1,1111,Sintra,Grande Lisboa
Sintra,50 - 54 anos,M,16272,12139,4133,554,54,2,8,6,19,156,1,4,2,9,2,55,5,36,1,107,2736,27,1213,594,258,433,157,751,11,6,6,680,32,87,1,37,10,1,2,5,1111,Sintra,Grande Lisboa
Sintra,55 - 59 anos,H,12440,10013,2427,253,19,0,3,4,12,33,0,3,0,5,1,28,4,8,4,77,1745,11,695,340,232,322,94,336,5,7,3,302,11,92,2,26,18,1,2,1,1111,Sintra,Grande Lisboa
Sintra,55 - 59 anos,M,14252,11255,2997,276,15,0,2,7,16,33,3,4,0,6,1,16,1,19,1,95,2148,16,882,499,203,377,133,492,1,10,2,441,21,80,3,24,16,0,1,1,1111,Sintra,Grande Lisboa
Sintra,60 - 64 anos,H,10333,8668,1665,186,15,1,9,5,7,13,1,13,0,6,0,8,0,9,4,53,1275,6,500,281,142,256,49,145,1,5,2,126,8,58,1,17,24,0,0,1,1111,Sintra,Grande Lisboa
Sintra,60 - 64 anos,M,12248,9970,2278,178,6,0,10,3,7,15,1,3,0,4,0,12,1,14,3,69,1693,8,716,376,171,295,90,331,1,5,4,288,25,76,1,14,33,1,2,0,1111,Sintra,Grande Lisboa
Sintra,65 - 69 anos,H,8710,7602,1108,104,7,1,2,2,10,11,1,5,0,4,0,7,5,3,5,20,857,4,334,242,59,155,39,98,0,7,0,79,5,47,0,11,21,1,1,2,1111,Sintra,Grande Lisboa
Sintra,65 - 69 anos,M,10861,9279,1582,101,3,0,3,3,5,9,0,4,0,1,0,8,1,10,1,37,1241,3,532,299,87,218,65,180,0,3,1,156,9,60,0,6,22,0,2,0,1111,Sintra,Grande Lisboa
Sintra,70 - 74 anos,H,7743,7132,611,71,5,1,2,0,6,17,0,8,0,3,0,2,2,3,3,3,465,2,166,115,37,112,14,41,0,4,1,33,1,34,0,5,11,0,0,0,1111,Sintra,Grande Lisboa
Sintra,70 - 74 anos,M,9918,8976,942,83,5,1,2,1,11,10,0,5,1,6,1,1,2,7,2,9,708,6,324,127,40,159,36,84,0,1,3,73,3,67,0,11,27,0,0,0,1111,Sintra,Grande Lisboa
Sintra,75 - 79 anos,H,6064,5713,351,50,7,1,4,0,7,5,0,9,0,2,1,1,2,0,2,0,256,0,93,77,7,56,14,15,0,4,1,9,0,29,0,3,17,0,0,1,1111,Sintra,Grande Lisboa
Sintra,75 - 79 anos,M,7676,7136,540,35,4,0,4,0,12,3,0,1,0,0,1,0,2,0,0,5,436,5,198,81,26,99,12,35,0,1,0,32,0,33,0,1,18,0,2,1,1111,Sintra,Grande Lisboa
Sintra,80 - 84 anos,H,3778,3594,184,19,2,0,1,0,7,4,0,3,0,1,0,0,0,0,0,0,140,1,54,40,4,33,4,5,0,2,0,3,0,20,0,0,16,0,0,0,1111,Sintra,Grande Lisboa
Sintra,80 - 84 anos,M,5664,5259,405,50,7,1,0,0,18,6,0,2,0,2,0,0,1,2,1,7,305,3,138,77,8,59,13,22,0,2,1,17,0,28,0,3,20,0,0,0,1111,Sintra,Grande Lisboa
Sintra,85 e mais anos,H,2790,2647,143,15,3,0,0,0,4,2,0,0,0,1,0,0,0,1,1,0,116,0,52,23,2,31,5,4,0,1,0,3,0,8,0,0,8,0,0,0,1111,Sintra,Grande Lisboa
Sintra,85 e mais anos,M,5681,5260,421,31,1,0,1,0,17,4,0,1,0,1,0,0,0,0,0,0,358,2,171,71,10,80,18,15,0,1,0,12,1,17,0,0,12,0,0,0,1111,Sintra,Grande Lisboa
Algueirão-Mem Martins,Total,H,32390,26456,5934,949,57,3,13,6,43,153,4,24,5,11,4,91,4,36,24,298,2973,38,1160,676,427,406,145,1667,8,15,3,1559,49,338,27,73,92,52,28,7,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,Total,M,36259,29091,7168,1041,68,1,12,8,29,159,7,12,10,13,8,97,3,65,25,334,3702,57,1506,876,426,496,224,2138,4,8,5,2016,56,278,7,91,45,33,17,9,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,0 - 4 anos,H,1672,1610,62,18,0,0,0,0,7,2,0,1,0,0,0,0,0,0,0,4,19,1,12,2,3,1,0,23,0,0,0,21,2,2,1,0,0,0,0,0,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,0 - 4 anos,M,1612,1549,63,10,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,20,1,13,2,0,1,2,27,0,0,0,26,0,5,0,2,0,0,0,1,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,5 - 9 anos,H,1672,1510,162,34,0,0,0,0,3,8,0,1,0,2,0,0,0,0,2,5,48,2,31,2,7,3,2,68,1,0,0,61,3,12,2,2,6,1,0,0,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,5 - 9 anos,M,1681,1481,200,40,0,0,1,0,2,8,2,1,1,1,0,0,0,3,0,7,76,2,35,10,11,3,7,71,0,0,0,70,0,13,1,4,1,1,1,0,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,10 - 14 anos,H,1934,1687,247,35,0,0,1,0,5,2,0,1,1,0,0,1,0,1,1,9,77,1,38,16,13,3,3,120,0,1,0,115,3,14,0,3,1,6,1,1,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,10 - 14 anos,M,1934,1738,196,26,1,0,1,0,3,0,2,0,2,1,0,0,0,0,1,7,78,1,31,19,18,2,5,82,0,0,0,81,1,10,0,5,2,2,0,0,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,15 - 19 anos,H,2084,1854,230,26,1,0,1,0,2,1,0,3,0,0,0,2,0,0,1,8,103,2,30,37,19,1,7,94,0,0,0,92,1,7,0,2,2,2,0,0,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,15 - 19 anos,M,2013,1737,276,25,0,0,0,0,2,0,0,1,1,1,0,2,0,1,1,5,124,1,41,33,28,6,9,121,1,2,0,117,1,6,0,2,1,1,1,0,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,20 - 24 anos,H,2138,1726,412,54,3,1,0,0,1,6,0,1,0,0,1,4,0,3,2,23,200,2,50,76,43,6,11,140,0,1,0,136,1,18,0,4,5,1,4,0,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,20 - 24 anos,M,2129,1677,452,61,2,0,1,0,1,2,0,1,0,2,0,7,0,1,1,29,231,0,65,96,33,7,23,148,0,1,0,142,1,11,0,3,2,3,2,1,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,25 - 29 anos,H,2080,1548,532,84,4,0,3,2,2,4,1,2,0,3,0,8,0,1,5,28,215,4,49,86,46,4,17,199,2,3,0,180,9,33,2,3,8,9,5,1,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,25 - 29 anos,M,2162,1610,552,72,4,0,3,1,1,7,0,1,1,0,1,3,0,0,8,26,241,0,68,92,48,4,24,205,1,0,0,192,9,34,2,5,5,7,5,0,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,30 - 34 anos,H,2066,1472,594,72,3,0,0,0,2,8,0,2,1,2,0,3,1,3,5,22,253,1,62,80,74,4,18,205,2,2,1,192,4,62,9,10,17,17,4,2,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,30 - 34 anos,M,2236,1577,659,93,3,0,1,0,0,12,0,1,0,1,2,12,0,7,9,29,272,10,76,109,47,5,17,246,0,0,2,223,10,42,3,15,3,11,4,6,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,35 - 39 anos,H,2248,1660,588,91,3,0,1,1,1,15,2,1,0,0,2,14,1,4,3,30,201,6,60,54,43,8,15,257,0,4,1,241,8,38,4,9,11,6,6,1,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,35 - 39 anos,M,2394,1711,683,106,9,0,1,3,1,11,1,0,0,0,3,20,0,9,1,37,259,5,82,80,43,15,29,295,0,1,1,281,8,23,0,8,7,2,1,0,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,40 - 44 anos,H,2540,1963,577,130,12,1,0,0,6,27,1,3,0,1,1,15,0,10,0,34,202,4,82,34,38,17,18,202,1,1,1,188,5,42,6,10,9,6,4,1,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,40 - 44 anos,M,2904,2122,782,145,16,0,0,0,2,20,0,1,1,1,1,20,0,8,1,46,298,6,111,78,52,29,11,315,0,0,0,302,8,24,0,12,0,4,0,0,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,45 - 49 anos,H,2776,2052,724,170,15,0,1,1,4,50,0,0,3,1,0,16,0,7,0,53,399,6,202,46,35,88,8,128,1,0,0,124,2,26,3,9,2,4,3,1,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,45 - 49 anos,M,3169,2226,943,194,14,0,1,2,2,55,0,1,2,3,1,16,1,12,0,56,491,10,247,60,42,95,20,236,1,2,2,220,5,22,1,10,1,1,0,0,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,50 - 54 anos,H,2531,1944,587,110,14,0,1,0,2,23,0,0,0,1,0,19,1,0,0,33,361,4,173,50,35,69,20,97,1,1,0,84,6,19,0,7,3,0,0,0,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,50 - 54 anos,M,2912,2156,756,103,12,1,0,1,2,25,0,1,0,2,0,10,2,8,0,25,470,9,237,82,31,80,17,166,1,0,0,158,4,16,0,8,1,1,0,1,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,55 - 59 anos,H,2215,1709,506,49,1,0,0,1,3,1,0,1,0,1,0,5,1,2,0,25,351,2,155,58,43,74,11,84,0,0,0,81,2,22,0,5,5,0,1,0,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,55 - 59 anos,M,2457,1934,523,63,3,0,0,0,1,12,2,0,0,0,0,4,0,5,1,25,337,4,134,65,28,74,21,98,0,0,0,88,4,25,0,10,3,0,1,0,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,60 - 64 anos,H,1738,1421,317,42,0,0,2,1,0,1,0,3,0,0,0,2,0,2,3,20,242,0,109,52,16,50,5,26,0,0,0,25,1,7,0,3,3,0,0,0,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,60 - 64 anos,M,2067,1662,405,48,2,0,1,1,1,1,0,1,0,0,0,2,0,3,1,26,274,2,120,56,22,59,10,70,0,1,0,65,4,13,0,3,6,0,0,0,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,65 - 69 anos,H,1413,1230,183,8,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,147,1,51,53,3,27,6,17,0,0,0,15,2,11,0,5,3,0,0,0,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,65 - 69 anos,M,1865,1580,285,23,0,0,1,0,0,0,0,1,0,0,0,1,0,6,0,11,225,1,106,48,9,38,15,26,0,0,0,25,0,11,0,1,2,0,1,0,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,70 - 74 anos,H,1270,1168,102,14,0,1,1,0,3,2,0,3,0,0,0,0,0,1,1,1,72,1,27,14,6,21,0,6,0,2,0,4,0,10,0,1,4,0,0,0,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,70 - 74 anos,M,1593,1437,156,11,0,0,0,0,3,1,0,1,1,0,0,0,0,2,0,1,120,1,47,20,8,35,6,13,0,0,0,12,1,12,0,2,6,0,0,0,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,75 - 79 anos,H,975,918,57,6,0,0,2,0,1,1,0,2,0,0,0,0,0,0,0,0,43,0,15,9,0,17,2,1,0,0,0,0,0,7,0,0,5,0,0,0,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,75 - 79 anos,M,1251,1154,97,5,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,74,2,39,7,2,18,3,11,0,0,0,9,0,7,0,1,2,0,1,0,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,80 - 84 anos,H,611,574,37,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,28,1,9,7,2,8,1,0,0,0,0,0,0,7,0,0,7,0,0,0,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,80 - 84 anos,M,923,842,81,12,2,0,0,0,3,1,0,0,0,1,0,0,0,0,1,3,60,2,26,12,2,13,3,6,0,1,0,4,0,3,0,0,2,0,0,0,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,85 e mais anos,H,427,410,17,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,12,0,5,0,1,5,1,0,0,0,0,0,0,1,0,0,1,0,0,0,111102,Sintra,Grande Lisboa
Algueirão-Mem Martins,85 e mais anos,M,957,898,59,4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,52,0,28,7,2,12,2,2,0,0,0,1,0,1,0,0,1,0,0,0,111102,Sintra,Grande Lisboa
