Place of Residence,Age Group,Gender,Tipo de dificuldade,Não tem nenhuma dificuldade,Tem alguma dificuldade,Tem muita dificuldade,Não consegue efetuar a ação,freguesia_code,municipio,region
Amadora,Total,H,Ver,48279,14479,1621,192,1115,Amadora,Grande Lisboa
Amadora,Total,H,Ouvir,55484,7169,1523,197,1115,Amadora,Grande Lisboa
Amadora,Total,H,Andar ou subir degraus,54132,7681,2307,462,1115,Amadora,Grande Lisboa
Amadora,Total,H,Memória ou concentração,52495,10394,1234,380,1115,Amadora,Grande Lisboa
Amadora,Total,H,Compreender os outros ou fazer-se compreender,61003,2810,576,211,1115,Amadora,Grande Lisboa
Amadora,Total,M,Ver,50230,23388,3493,204,1115,Amadora,Grande Lisboa
Amadora,Total,M,Ouvir,65609,9065,2155,209,1115,Amadora,Grande Lisboa
Amadora,Total,M,Andar ou subir degraus,56910,14251,5501,706,1115,Amadora,Grande Lisboa
Amadora,Total,M,Memória ou concentração,57258,16883,2478,629,1115,Amadora,Grande Lisboa
Amadora,Total,M,Compreender os outros ou fazer-se compreender,72482,3861,720,286,1115,Amadora,Grande Lisboa
Amadora,15 - 19 anos,H,Ver,3671,413,41,4,1115,Amadora,Grande Lisboa
Amadora,15 - 19 anos,H,Ouvir,4055,55,7,4,1115,Amadora,Grande Lisboa
Amadora,15 - 19 anos,H,Andar ou subir degraus,4066,35,5,8,1115,Amadora,Grande Lisboa
Amadora,15 - 19 anos,H,Memória ou concentração,3792,268,38,13,1115,Amadora,Grande Lisboa
Amadora,15 - 19 anos,H,Compreender os outros ou fazer-se compreender,3981,112,13,10,1115,Amadora,Grande Lisboa
Amadora,15 - 19 anos,M,Ver,3269,648,63,1,1115,Amadora,Grande Lisboa
Amadora,15 - 19 anos,M,Ouvir,3909,54,5,1,1115,Amadora,Grande Lisboa
Amadora,15 - 19 anos,M,Andar ou subir degraus,3915,46,6,7,1115,Amadora,Grande Lisboa
Amadora,15 - 19 anos,M,Memória ou concentração,3589,334,43,11,1115,Amadora,Grande Lisboa
Amadora,15 - 19 anos,M,Compreender os outros ou fazer-se compreender,3877,82,12,5,1115,Amadora,Grande Lisboa
Amadora,20 - 24 anos,H,Ver,4087,448,43,6,1115,Amadora,Grande Lisboa
Amadora,20 - 24 anos,H,Ouvir,4487,63,12,5,1115,Amadora,Grande Lisboa
Amadora,20 - 24 anos,H,Andar ou subir degraus,4491,55,17,9,1115,Amadora,Grande Lisboa
Amadora,20 - 24 anos,H,Memória ou concentração,4242,278,29,13,1115,Amadora,Grande Lisboa
Amadora,20 - 24 anos,H,Compreender os outros ou fazer-se compreender,4417,113,17,13,1115,Amadora,Grande Lisboa
Amadora,20 - 24 anos,M,Ver,3858,760,61,4,1115,Amadora,Grande Lisboa
Amadora,20 - 24 anos,M,Ouvir,4554,94,17,5,1115,Amadora,Grande Lisboa
Amadora,20 - 24 anos,M,Andar ou subir degraus,4551,113,14,8,1115,Amadora,Grande Lisboa
Amadora,20 - 24 anos,M,Memória ou concentração,4197,440,32,14,1115,Amadora,Grande Lisboa
Amadora,20 - 24 anos,M,Compreender os outros ou fazer-se compreender,4557,100,13,10,1115,Amadora,Grande Lisboa
Amadora,25 - 29 anos,H,Ver,4600,508,41,9,1115,Amadora,Grande Lisboa
Amadora,25 - 29 anos,H,Ouvir,5020,97,10,15,1115,Amadora,Grande Lisboa
Amadora,25 - 29 anos,H,Andar ou subir degraus,5034,86,22,17,1115,Amadora,Grande Lisboa
Amadora,25 - 29 anos,H,Memória ou concentração,4723,376,42,13,1115,Amadora,Grande Lisboa
Amadora,25 - 29 anos,H,Compreender os outros ou fazer-se compreender,4967,144,27,14,1115,Amadora,Grande Lisboa
Amadora,25 - 29 anos,M,Ver,4542,881,56,9,1115,Amadora,Grande Lisboa
Amadora,25 - 29 anos,M,Ouvir,5311,135,13,6,1115,Amadora,Grande Lisboa
Amadora,25 - 29 anos,M,Andar ou subir degraus,5310,144,21,11,1115,Amadora,Grande Lisboa
Amadora,25 - 29 anos,M,Memória ou concentração,4861,576,36,13,1115,Amadora,Grande Lisboa
Amadora,25 - 29 anos,M,Compreender os outros ou fazer-se compreender,5351,108,22,9,1115,Amadora,Grande Lisboa
Amadora,30 - 34 anos,H,Ver,4818,560,29,8,1115,Amadora,Grande Lisboa
Amadora,30 - 34 anos,H,Ouvir,5229,150,12,10,1115,Amadora,Grande Lisboa
Amadora,30 - 34 anos,H,Andar ou subir degraus,5273,113,14,8,1115,Amadora,Grande Lisboa
Amadora,30 - 34 anos,H,Memória ou concentração,4923,439,27,11,1115,Amadora,Grande Lisboa
Amadora,30 - 34 anos,H,Compreender os outros ou fazer-se compreender,5238,144,28,5,1115,Amadora,Grande Lisboa
Amadora,30 - 34 anos,M,Ver,4601,938,69,7,1115,Amadora,Grande Lisboa
Amadora,30 - 34 anos,M,Ouvir,5407,173,8,8,1115,Amadora,Grande Lisboa
Amadora,30 - 34 anos,M,Andar ou subir degraus,5376,216,23,6,1115,Amadora,Grande Lisboa
Amadora,30 - 34 anos,M,Memória ou concentração,4827,748,40,10,1115,Amadora,Grande Lisboa
Amadora,30 - 34 anos,M,Compreender os outros ou fazer-se compreender,5471,130,13,6,1115,Amadora,Grande Lisboa
Amadora,35 - 39 anos,H,Ver,4770,571,35,7,1115,Amadora,Grande Lisboa
Amadora,35 - 39 anos,H,Ouvir,5190,148,13,15,1115,Amadora,Grande Lisboa
Amadora,35 - 39 anos,H,Andar ou subir degraus,5183,162,30,13,1115,Amadora,Grande Lisboa
Amadora,35 - 39 anos,H,Memória ou concentração,4832,498,41,13,1115,Amadora,Grande Lisboa
Amadora,35 - 39 anos,H,Compreender os outros ou fazer-se compreender,5205,154,27,9,1115,Amadora,Grande Lisboa
Amadora,35 - 39 anos,M,Ver,4872,1018,69,7,1115,Amadora,Grande Lisboa
Amadora,35 - 39 anos,M,Ouvir,5724,205,14,12,1115,Amadora,Grande Lisboa
Amadora,35 - 39 anos,M,Andar ou subir degraus,5633,292,44,10,1115,Amadora,Grande Lisboa
Amadora,35 - 39 anos,M,Memória ou concentração,5062,842,58,11,1115,Amadora,Grande Lisboa
Amadora,35 - 39 anos,M,Compreender os outros ou fazer-se compreender,5785,161,21,9,1115,Amadora,Grande Lisboa
Amadora,40 - 44 anos,H,Ver,4777,792,49,18,1115,Amadora,Grande Lisboa
Amadora,40 - 44 anos,H,Ouvir,5340,253,20,18,1115,Amadora,Grande Lisboa
Amadora,40 - 44 anos,H,Andar ou subir degraus,5301,262,49,20,1115,Amadora,Grande Lisboa
Amadora,40 - 44 anos,H,Memória ou concentração,4994,573,44,15,1115,Amadora,Grande Lisboa
Amadora,40 - 44 anos,H,Compreender os outros ou fazer-se compreender,5439,158,25,10,1115,Amadora,Grande Lisboa
Amadora,40 - 44 anos,M,Ver,4891,1401,109,11,1115,Amadora,Grande Lisboa
Amadora,40 - 44 anos,M,Ouvir,6097,269,22,11,1115,Amadora,Grande Lisboa
Amadora,40 - 44 anos,M,Andar ou subir degraus,5818,501,81,14,1115,Amadora,Grande Lisboa
Amadora,40 - 44 anos,M,Memória ou concentração,5374,949,63,22,1115,Amadora,Grande Lisboa
