code,location,type,region
111,Alto Minho,region,Alto Minho
1601,Arcos de Valdevez,municipio,Alto Minho
1602,Caminha,municipio,Alto Minho
1603,Melgaço,municipio,Alto Minho
1604,Monção,municipio,Alto Minho
1605,Paredes de Coura,municipio,Alto Minho
1606,Ponte da Barca,municipio,Alto Minho
1607,Ponte de Lima,municipio,Alto Minho
1608,Valença,municipio,Alto Minho
1609,Viana do Castelo,municipio,Alto Minho
1610,Vila Nova de Cerveira,municipio,Alto Minho
112,Cávado,region,Cávado
0301,Amares,municipio,Cávado
0302,Barcelos,municipio,Cávado
0303,Braga,municipio,Cávado
0306,Esposende,municipio,Cávado
0310,Terras de Bouro,municipio,Cávado
0313,Vila Verde,municipio,Cávado
119,Ave,region,Ave
0304,Cabeceiras de Basto,municipio,Ave
0307,Fafe,municipio,Ave
0308,Guimarães,municipio,Ave
1705,Mondim de Basto,municipio,Ave
0309,Póvoa de Lanhoso,municipio,Ave
0311,Vieira do Minho,municipio,Ave
0312,Vila Nova de Famalicão,municipio,Ave
0314,Vizela,municipio,Ave
11A,Área Metropolitana do Porto,region,Área Metropolitana do Porto
0104,Arouca,municipio,Área Metropolitana do Porto
0107,Espinho,municipio,Área Metropolitana do Porto
1304,Gondomar,municipio,Área Metropolitana do Porto
1306,Maia,municipio,Área Metropolitana do Porto
1308,Matosinhos,municipio,Área Metropolitana do Porto
0113,Oliveira de Azeméis,municipio,Área Metropolitana do Porto
1310,Paredes,municipio,Área Metropolitana do Porto
1312,Porto,municipio,Área Metropolitana do Porto
1313,Póvoa de Varzim,municipio,Área Metropolitana do Porto
0109,Santa Maria da Feira,municipio,Área Metropolitana do Porto
1314,Santo Tirso,municipio,Área Metropolitana do Porto
0116,São João da Madeira,municipio,Área Metropolitana do Porto
1318,Trofa,municipio,Área Metropolitana do Porto
0119,Vale de Cambra,municipio,Área Metropolitana do Porto
1315,Valongo,municipio,Área Metropolitana do Porto
1316,Vila do Conde,municipio,Área Metropolitana do Porto
1317,Vila Nova de Gaia,municipio,Área Metropolitana do Porto
11B,Alto Tâmega e Barroso,region,Alto Tâmega e Barroso
1702,Boticas,municipio,Alto Tâmega e Barroso
1703,Chaves,municipio,Alto Tâmega e Barroso
1706,Montalegre,municipio,Alto Tâmega e Barroso
1709,Ribeira de Pena,municipio,Alto Tâmega e Barroso
1712,Valpaços,municipio,Alto Tâmega e Barroso
1713,Vila Pouca de Aguiar,municipio,Alto Tâmega e Barroso
11C,Tâmega e Sousa,region,Tâmega e Sousa
1301,Amarante,municipio,Tâmega e Sousa
1302,Baião,municipio,Tâmega e Sousa
0106,Castelo de Paiva,municipio,Tâmega e Sousa
0305,Celorico de Basto,municipio,Tâmega e Sousa
1804,Cinfães,municipio,Tâmega e Sousa
1303,Felgueiras,municipio,Tâmega e Sousa
1305,Lousada,municipio,Tâmega e Sousa
1307,Marco de Canaveses,municipio,Tâmega e Sousa
1309,Paços de Ferreira,municipio,Tâmega e Sousa
1311,Penafiel,municipio,Tâmega e Sousa
1813,Resende,municipio,Tâmega e Sousa
11D,Douro,region,Douro
1701,Alijó,municipio,Douro
1801,Armamar,municipio,Douro
0403,Carrazeda de Ansiães,municipio,Douro
0404,Freixo de Espada à Cinta,municipio,Douro
1805,Lamego,municipio,Douro
1704,Mesão Frio,municipio,Douro
1807,Moimenta da Beira,municipio,Douro
1707,Murça,municipio,Douro
1812,Penedono,municipio,Douro
1708,Peso da Régua,municipio,Douro
1710,Sabrosa,municipio,Douro
1711,Santa Marta de Penaguião,municipio,Douro
1815,São João da Pesqueira,municipio,Douro
1818,Sernancelhe,municipio,Douro
1819,Tabuaço,municipio,Douro
1820,Tarouca,municipio,Douro
0409,Torre de Moncorvo,municipio,Douro
0914,Vila Nova de Foz Côa,municipio,Douro
1714,Vila Real,municipio,Douro
11E,Terras de Trás-os-Montes,region,Terras de Trás-os-Montes
0401,Alfândega da Fé,municipio,Terras de Trás-os-Montes
0402,Bragança,municipio,Terras de Trás-os-Montes
