
Quadro extraído em 23 de Fevereiro de 2025 (13:27:18)
http://www.ine.pt



Local de residência à data dos Censos [2021] (NUTS - 2024);Grupo etário;Sexo;Período de referência dos dados;População residente (N.º) por Local de residência à data dos Censos [2021] (NUTS - 2024), Sexo, Grupo etário e Naturalidade (País) -  Decenal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Naturalidade (País);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Total;Portuguesa;Estrangeira;Europa;Alemanha;Áustria;Bélgica;Bulgária;Espanha;França;Irlanda;Itália;Luxemburgo;Países Baixos;Polónia;Roménia;Suécia;Federação da Rússia;Suíça;Ucrânia;África;África do Sul;Angola;Cabo Verde;Guiné-Bissau;Moçambique;São Tomé e Príncipe;América;Canadá;Estados Unidos da América;Argentina;Brasil;Venezuela;Ásia;Bangladeche;China;Índia;Nepal;Paquistão;Oceânia;
;;;;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
1115: Amadora;Total;H;2021;79393;63741;15652;1652;126;5;42;24;100;327;4;60;7;34;3;150;11;48;64;353;8687;82;2261;3014;1453;777;654;3765;23;54;10;3454;165;1539;260;179;459;182;299;9;
;;M;2021;92061;73152;18909;1927;134;6;32;31;137;368;2;60;20;29;26;168;12;97;66;439;11062;68;2987;4408;1247;978;1034;4951;26;55;15;4586;198;960;86;195;262;135;113;9;
;0 - 4 anos;H;2021;4149;3948;201;65;7;0;2;1;10;9;0;0;0;0;0;1;1;0;5;1;55;1;27;12;8;0;4;65;0;3;0;57;5;15;3;1;2;1;4;1;
;;M;2021;3977;3786;191;31;2;0;3;0;2;5;0;0;1;1;0;0;0;0;1;1;61;1;23;15;9;1;7;83;0;5;0;75;3;16;2;0;6;0;2;0;
;5 - 9 anos;H;2021;3997;3549;448;71;2;0;4;0;3;16;0;1;2;5;0;1;1;0;4;5;172;1;57;42;34;5;13;163;0;6;0;148;8;42;5;5;9;7;7;0;
;;M;2021;3885;3454;431;64;4;1;2;0;5;10;0;2;0;2;1;2;0;1;6;3;168;3;78;39;23;1;8;161;0;3;1;147;8;37;5;4;11;3;8;1;
;10 - 14 anos;H;2021;4240;3655;585;54;1;1;1;0;9;13;1;2;0;3;0;0;0;3;2;7;302;3;89;100;60;3;29;183;2;7;0;165;5;45;4;2;8;8;13;1;
;;M;2021;4103;3530;573;65;3;0;2;0;4;10;1;4;3;2;0;0;0;0;2;10;311;0;94;116;49;5;32;154;0;7;2;139;4;42;3;9;7;8;13;1;
;15 - 19 anos;H;2021;4297;3564;733;60;1;0;1;1;4;10;0;3;0;2;0;8;0;1;3;7;411;2;83;145;116;9;35;204;0;2;0;198;3;58;5;8;21;3;16;0;
;;M;2021;4144;3437;707;60;2;1;1;0;4;3;1;4;0;0;0;4;0;2;2;11;435;2;94;174;84;10;52;186;1;4;0;175;4;24;1;6;4;6;5;2;
;20 - 24 anos;H;2021;4762;3495;1267;117;10;1;1;2;4;12;1;2;0;3;0;11;1;1;10;32;705;5;118;293;179;16;53;342;0;5;0;320;15;103;12;10;34;10;29;0;
;;M;2021;4855;3594;1261;94;2;0;2;0;8;12;0;2;1;3;1;6;2;5;13;20;751;0;161;355;125;16;72;360;0;1;0;345;13;55;11;12;9;9;10;1;
;25 - 29 anos;H;2021;5369;3685;1684;162;10;0;7;1;8;21;0;7;1;0;0;10;1;6;20;34;786;4;133;358;162;14;66;507;3;4;0;477;18;228;43;10;84;38;39;1;
;;M;2021;5687;3836;1851;201;11;1;6;2;16;29;0;10;3;3;4;14;2;12;22;36;922;6;157;487;147;8;89;587;5;3;0;544;25;141;28;14;34;36;15;0;
;30 - 34 anos;H;2021;5627;3794;1833;150;11;1;7;1;4;22;0;8;1;4;0;15;3;6;8;34;739;11;116;322;153;12;69;617;5;6;0;560;33;325;82;22;95;42;68;2;
;;M;2021;5823;3910;1913;193;11;1;3;4;8;35;0;13;3;2;10;14;1;10;9;40;932;4;132;514;127;16;100;645;4;7;4;583;36;142;22;23;30;28;20;1;
;35 - 39 anos;H;2021;5593;4048;1545;131;10;0;2;1;7;32;0;4;0;4;0;19;0;2;5;28;597;10;113;230;133;19;47;577;3;6;2;536;23;240;65;19;44;39;55;0;
;;M;2021;6187;4283;1904;208;12;1;1;6;12;34;0;6;2;4;6;25;2;14;5;48;882;5;184;388;155;24;90;698;4;3;0;653;26;116;8;20;25;25;18;0;
