
Quadro extraído em 25 de Março de 2025 (11:07:34)
http://www.ine.pt



Local de residência à data dos Censos [2021] (NUTS - 2024 - Município);Grupo etário;Sexo;Período de referência dos dados;Nível de escolaridade mais elevado completo;Tipo de dificuldade;Dificuldades (N.º) da população residente com 15 e mais anos de idade com dificuldades por Local de residência à data dos Censos [2021] (NUTS - 2024 - Município), Sexo, Grupo etário, Nível de escolaridade mais elevado completo, Tipo de dificuldade e Grau de dificuldade -  Decenal;;;;
;;;;;;Grau de dificuldade;;;;
;;;;;;Não tem nenhuma dificuldade;Tem alguma dificuldade;Tem muita dificuldade;Não consegue efetuar a ação;
;;;;;;N.º ;N.º ;N.º ;N.º ;
1115: Amadora;Total;H;2021;Total;Ver;48279;14479;1621;192;
;;;;;Ouvir;55484;7169;1523;197;
;;;;;Andar ou subir degraus;54132;7681;2307;462;
;;;;;Memória ou concentração;52495;10394;1234;380;
;;;;;Compreender os outros ou fazer-se compreender;61003;2810;576;211;
;;M;2021;Total;Ver;50230;23388;3493;204;
;;;;;Ouvir;65609;9065;2155;209;
;;;;;Andar ou subir degraus;56910;14251;5501;706;
;;;;;Memória ou concentração;57258;16883;2478;629;
;;;;;Compreender os outros ou fazer-se compreender;72482;3861;720;286;
;15 - 19 anos;H;2021;Total;Ver;3671;413;41;4;
;;;;;Ouvir;4055;55;7;4;
;;;;;Andar ou subir degraus;4066;35;5;8;
;;;;;Memória ou concentração;3792;268;38;13;
;;;;;Compreender os outros ou fazer-se compreender;3981;112;13;10;
;;M;2021;Total;Ver;3269;648;63;1;
;;;;;Ouvir;3909;54;5;1;
;;;;;Andar ou subir degraus;3915;46;6;7;
;;;;;Memória ou concentração;3589;334;43;11;
;;;;;Compreender os outros ou fazer-se compreender;3877;82;12;5;
;20 - 24 anos;H;2021;Total;Ver;4087;448;43;6;
;;;;;Ouvir;4487;63;12;5;
;;;;;Andar ou subir degraus;4491;55;17;9;
;;;;;Memória ou concentração;4242;278;29;13;
;;;;;Compreender os outros ou fazer-se compreender;4417;113;17;13;
;;M;2021;Total;Ver;3858;760;61;4;
;;;;;Ouvir;4554;94;17;5;
;;;;;Andar ou subir degraus;4551;113;14;8;
;;;;;Memória ou concentração;4197;440;32;14;
;;;;;Compreender os outros ou fazer-se compreender;4557;100;13;10;
;25 - 29 anos;H;2021;Total;Ver;4600;508;41;9;
;;;;;Ouvir;5020;97;10;15;
;;;;;Andar ou subir degraus;5034;86;22;17;
;;;;;Memória ou concentração;4723;376;42;13;
;;;;;Compreender os outros ou fazer-se compreender;4967;144;27;14;
;;M;2021;Total;Ver;4542;881;56;9;
;;;;;Ouvir;5311;135;13;6;
;;;;;Andar ou subir degraus;5310;144;21;11;
;;;;;Memória ou concentração;4861;576;36;13;
;;;;;Compreender os outros ou fazer-se compreender;5351;108;22;9;
;30 - 34 anos;H;2021;Total;Ver;4818;560;29;8;
;;;;;Ouvir;5229;150;12;10;
;;;;;Andar ou subir degraus;5273;113;14;8;
;;;;;Memória ou concentração;4923;439;27;11;
;;;;;Compreender os outros ou fazer-se compreender;5238;144;28;5;
;;M;2021;Total;Ver;4601;938;69;7;
;;;;;Ouvir;5407;173;8;8;
;;;;;Andar ou subir degraus;5376;216;23;6;
;;;;;Memória ou concentração;4827;748;40;10;
;;;;;Compreender os outros ou fazer-se compreender;5471;130;13;6;
;35 - 39 anos;H;2021;Total;Ver;4770;571;35;7;
;;;;;Ouvir;5190;148;13;15;
