
Quadro extraído em 25 de Março de 2025 (11:06:01)
http://www.ine.pt



Local de residência à data dos Censos [2021] (NUTS - 2024 - Município);Grupo etário;Sexo;Período de referência dos dados;Nível de escolaridade mais elevado completo;Tipo de dificuldade;Dificuldades (N.º) da população residente com 15 e mais anos de idade com dificuldades por Local de residência à data dos Censos [2021] (NUTS - 2024 - Município), Sexo, Grupo etário, Nível de escolaridade mais elevado completo, Tipo de dificuldade e Grau de dificuldade -  Decenal;;;;
;;;;;;Grau de dificuldade;;;;
;;;;;;Não tem nenhuma dificuldade;Tem alguma dificuldade;Tem muita dificuldade;Não consegue efetuar a ação;
;;;;;;N.º ;N.º ;N.º ;N.º ;
1A0: Grande Lisboa;Total;H;2021;Total;Ver;600112;166934;17360;2191;
;;;;;Ouvir;683034;82675;16231;2000;
;;;;;Andar ou subir degraus;670891;86642;24252;5417;
;;;;;Memória ou concentração;646979;120569;14294;4284;
;;;;;Compreender os outros ou fazer-se compreender;746702;31372;6276;2504;
;;M;2021;Total;Ver;618614;261878;36400;2424;
;;;;;Ouvir;787573;101554;24294;2386;
;;;;;Andar ou subir degraus;698798;153078;57657;10444;
;;;;;Memória ou concentração;692192;190287;27410;8617;
;;;;;Compreender os outros ou fazer-se compreender;864757;41663;8752;4352;
;15 - 19 anos;H;2021;Total;Ver;48634;4365;322;47;
;;;;;Ouvir;52588;544;76;42;
;;;;;Andar ou subir degraus;52794;379;82;79;
;;;;;Memória ou concentração;49507;3187;453;132;
;;;;;Compreender os outros ou fazer-se compreender;51769;1204;208;120;
;;M;2021;Total;Ver;44230;6836;544;26;
;;;;;Ouvir;50722;673;62;31;
;;;;;Andar ou subir degraus;50799;675;102;72;
;;;;;Memória ou concentração;47490;3640;353;95;
;;;;;Compreender os outros ou fazer-se compreender;50524;869;134;64;
;20 - 24 anos;H;2021;Total;Ver;50424;4949;394;63;
;;;;;Ouvir;54809;731;73;78;
;;;;;Andar ou subir degraus;55062;552;111;105;
;;;;;Memória ou concentração;51929;3319;375;141;
;;;;;Compreender os outros ou fazer-se compreender;54220;1200;229;124;
;;M;2021;Total;Ver;46280;8090;585;52;
;;;;;Ouvir;53678;992;106;55;
;;;;;Andar ou subir degraus;53736;1066;121;94;
;;;;;Memória ou concentração;49696;4786;390;99;
;;;;;Compreender os outros ou fazer-se compreender;53744;1008;144;86;
;25 - 29 anos;H;2021;Total;Ver;52793;5608;427;97;
;;;;;Ouvir;57410;1104;112;116;
;;;;;Andar ou subir degraus;57740;859;154;155;
;;;;;Memória ou concentração;53805;4522;387;136;
;;;;;Compreender os outros ou fazer-se compreender;56957;1540;249;122;
;;M;2021;Total;Ver;49966;9372;585;60;
;;;;;Ouvir;58252;1358;110;72;
;;;;;Andar ou subir degraus;58339;1371;161;104;
;;;;;Memória ou concentração;52980;6393;433;126;
;;;;;Compreender os outros ou fazer-se compreender;58452;1255;168;85;
;30 - 34 anos;H;2021;Total;Ver;54175;5826;367;97;
;;;;;Ouvir;58578;1488;123;115;
;;;;;Andar ou subir degraus;58929;1192;187;140;
;;;;;Memória ou concentração;54803;5072;354;155;
;;;;;Compreender os outros ou fazer-se compreender;58321;1736;248;100;
;;M;2021;Total;Ver;52314;9982;618;85;
;;;;;Ouvir;60927;1651;122;116;
;;;;;Andar ou subir degraus;60798;1918;215;108;
;;;;;Memória ou concentração;54699;7779;382;137;
;;;;;Compreender os outros ou fazer-se compreender;61162;1565;196;81;
