
Quadro extraído em 26 de Fevereiro de 2025 (23:50:58)
http://www.ine.pt



Local de residência à data dos Censos [2021] (NUTS - 2024);Grupo etário;Sexo;Período de referência dos dados;População residente (N.º) por Local de residência à data dos Censos [2021] (NUTS - 2024), Sexo, Grupo etário e Nível de escolaridade mais elevado completo -  Decenal;;;;;;;;;;;;;;
;;;;Nível de escolaridade mais elevado completo;;;;;;;;;;;;;;
;;;;Total;Nenhum;Ensino básico;1.º ciclo;2.º ciclo;3.º ciclo;Ensino secundário;Ensino pós-secundário;Ensino superior;Curso técnico superior profissional;Bacharelato;Licenciatura;Mestrado;Doutoramento;
;;;;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
1115: Amadora;Total;H;2021;79393;10267;35613;12864;8295;14454;19244;1163;13106;206;993;8622;2913;372;
;;M;2021;92061;12500;39011;17631;7572;13808;20562;834;19154;90;1330;13320;4053;361;
;Menos de 15 anos;H;2021;12386;7965;4421;1907;2202;312;0;0;0;0;0;0;0;0;
;;M;2021;11965;7659;4306;1861;2106;339;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;4297;37;2988;40;538;2410;1260;7;5;5;0;0;0;0;
;;M;2021;4144;36;2648;30;372;2246;1455;2;3;3;0;0;0;0;
;20 - 24 anos;H;2021;4762;74;1151;45;211;895;2615;106;816;58;0;632;123;3;
;;M;2021;4855;74;827;29;125;673;2634;77;1243;23;0;1030;189;1;
;25 - 29 anos;H;2021;5369;133;1146;93;207;846;2213;178;1699;55;0;1005;628;11;
;;M;2021;5687;144;922;60;171;691;1993;146;2482;26;0;1471;977;8;
;30 - 34 anos;H;2021;5627;152;1326;122;272;932;2005;224;1920;46;22;1081;741;30;
;;M;2021;5823;173;1118;100;240;778;1822;124;2586;18;24;1516;991;37;
;35 - 39 anos;H;2021;5593;160;1598;138;367;1093;1909;206;1720;34;116;1068;461;41;
;;M;2021;6187;198;1359;117;280;962;1887;143;2600;16;98;1785;651;50;
;40 - 44 anos;H;2021;5842;145;1914;224;459;1231;1917;197;1669;8;110;1196;311;44;
;;M;2021;6654;203;1595;246;387;962;2050;134;2672;4;140;2056;413;59;
;45 - 49 anos;H;2021;5788;137;2241;376;692;1173;1883;150;1377;0;138;1021;182;36;
;;M;2021;6548;238;1893;404;497;992;2115;112;2190;0;171;1689;284;46;
;50 - 54 anos;H;2021;5034;159;2399;511;807;1081;1459;85;932;0;96;645;148;43;
;;M;2021;5917;257;2364;630;668;1066;1744;79;1473;0;160;1081;195;37;
;55 - 59 anos;H;2021;4576;137;2431;749;689;993;1240;10;758;0;111;506;97;44;
;;M;2021;5926;260;2774;1042;678;1054;1612;17;1263;0;152;898;156;57;
;60 - 64 anos;H;2021;4527;202;2548;1086;583;879;1076;0;701;0;109;460;91;41;
;;M;2021;5860;359;3121;1457;637;1027;1390;0;990;0;132;727;100;31;
;65 - 69 anos;H;2021;4222;237;2711;1620;409;682;698;0;576;0;91;387;66;32;
;;M;2021;5533;427;3559;2200;426;933;874;0;673;0;137;473;43;20;
;70 - 74 anos;H;2021;4090;204;3059;1955;337;767;407;0;420;0;83;280;34;23;
;;M;2021;5590;418;4241;2862;380;999;482;0;449;0;119;292;30;8;
;75 ou mais anos;H;2021;7280;525;5680;3998;522;1160;562;0;513;0;117;341;31;24;
;;M;2021;11372;2054;8284;6593;605;1086;504;0;530;0;197;302;24;7;
111513: Águas Livres;Total;H;2021;17253;2262;7847;2854;1782;3211;4234;246;2664;44;217;1721;601;81;
;;M;2021;20354;2841;8876;4128;1677;3071;4556;171;3910;20;275;2697;851;67;
;Menos de 15 anos;H;2021;2650;1754;896;389;445;62;0;0;0;0;0;0;0;0;
;;M;2021;2606;1708;898;395;423;80;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;850;8;598;14;107;477;243;1;0;0;0;0;0;0;
;;M;2021;833;9;527;6;79;442;296;1;0;0;0;0;0;0;
;20 - 24 anos;H;2021;1023;18;268;14;47;207;557;17;163;10;0;121;32;0;
;;M;2021;1017;14;179;3;25;151;582;17;225;6;0;190;29;0;
;25 - 29 anos;H;2021;1212;27;295;26;62;207;488;43;359;15;0;212;130;2;
;;M;2021;1308;37;214;9;39;166;492;35;530;7;0;313;210;0;
;30 - 34 anos;H;2021;1320;37;312;26;54;232;464;54;453;10;7;262;168;6;
;;M;2021;1330;37;252;23;55;174;429;28;584;4;7;343;224;6;
;35 - 39 anos;H;2021;1272;38;355;29;67;259;442;39;398;8;22;241;114;13;
;;M;2021;1412;54;317;24;69;224;432;19;590;3;22;419;134;12;
;40 - 44 anos;H;2021;1256;28;425;44;94;287;418;37;348;1;28;257;47;15;
;;M;2021;1460;56;381;66;90;225;403;26;594;0;37;451;90;16;
;45 - 49 anos;H;2021;1235;24;495;90;150;255;423;34;259;0;25;197;30;7;
;;M;2021;1375;50;430;116;106;208;449;28;418;0;29;328;54;7;
;50 - 54 anos;H;2021;1002;33;492;109;157;226;313;18;146;0;13;102;25;6;
;;M;2021;1207;59;491;158;146;187;373;14;270;0;33;191;39;7;
;55 - 59 anos;H;2021;915;27;506;153;146;207;256;3;123;0;18;76;19;10;
;;M;2021;1212;61;597;259;130;208;344;3;207;0;20;147;31;9;
;60 - 64 anos;H;2021;879;50;504;201;121;182;211;0;114;0;18;74;16;6;
;;M;2021;1245;92;694;318;134;242;293;0;166;0;17;124;20;5;
;65 - 69 anos;H;2021;928;60;590;349;105;136;165;0;113;0;33;64;9;7;
;;M;2021;1258;120;803;473;99;231;199;0;136;0;32;95;6;3;
;70 - 74 anos;H;2021;1008;57;736;448;87;201;124;0;91;0;27;50;7;7;
;;M;2021;1345;101;1011;649;101;261;148;0;85;0;29;52;2;2;
;75 ou mais anos;H;2021;1703;101;1375;962;140;273;130;0;97;0;26;65;4;2;
;;M;2021;2746;443;2082;1629;181;272;116;0;105;0;49;44;12;0;
111512: Alfragide;Total;H;2021;7970;1028;2870;944;741;1185;1769;90;2213;14;169;1422;520;88;
;;M;2021;8867;1192;2981;1207;649;1125;1738;73;2883;2;226;1931;629;95;
;Menos de 15 anos;H;2021;1286;808;478;188;262;28;0;0;0;0;0;0;0;0;
;;M;2021;1215;735;480;201;241;38;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;569;5;374;7;52;315;188;1;1;1;0;0;0;0;
;;M;2021;530;4;331;7;38;286;195;0;0;0;0;0;0;0;
;20 - 24 anos;H;2021;533;5;116;7;33;76;261;5;146;7;0;110;29;0;
;;M;2021;529;4;74;5;13;56;249;9;193;1;0;154;38;0;
;25 - 29 anos;H;2021;447;11;95;9;23;63;135;14;192;2;0;100;89;1;
;;M;2021;465;15;78;11;18;49;112;6;254;0;0;130;124;0;
;30 - 34 anos;H;2021;449;5;104;19;24;61;125;9;206;2;1;102;95;6;
;;M;2021;431;18;61;10;16;35;96;7;249;1;3;125;112;8;
;35 - 39 anos;H;2021;488;13;127;22;36;69;113;14;221;2;7;128;80;4;
;;M;2021;507;10;109;17;29;63;103;10;275;0;5;179;85;6;
;40 - 44 anos;H;2021;550;18;115;21;22;72;164;21;232;0;12;163;49;8;
;;M;2021;643;26;93;17;26;50;139;10;375;0;9;274;73;19;
;45 - 49 anos;H;2021;653;16;158;27;60;71;185;14;280;0;31;200;38;11;
;;M;2021;726;30;136;36;39;61;165;17;378;0;25;280;58;15;
;50 - 54 anos;H;2021;589;16;190;50;61;79;138;12;233;0;20;159;46;8;
;;M;2021;728;32;181;46;50;85;153;13;349;0;39;255;47;8;
;55 - 59 anos;H;2021;588;15;195;62;47;86;168;0;210;0;26;137;32;15;
;;M;2021;684;22;204;86;39;79;159;1;298;0;43;189;49;17;
;60 - 64 anos;H;2021;508;20;208;109;41;58;117;0;163;0;22;106;23;12;
;;M;2021;620;32;239;122;56;61;148;0;201;0;33;137;20;11;
;65 - 69 anos;H;2021;421;23;211;126;24;61;70;0;117;0;19;71;17;10;
;;M;2021;500;51;239;155;25;59;96;0;114;0;26;74;8;6;
;70 - 74 anos;H;2021;354;16;201;115;23;63;46;0;91;0;12;61;12;6;
;;M;2021;474;49;278;159;23;96;56;0;91;0;16;62;12;1;
;75 ou mais anos;H;2021;535;57;298;182;33;83;59;0;121;0;19;85;10;7;
;;M;2021;815;164;478;335;36;107;67;0;106;0;27;72;3;4;
111514: Encosta do Sol;Total;H;2021;12657;1805;6152;2314;1446;2392;2839;157;1704;27;132;1094;396;55;
;;M;2021;14436;2219;6262;2780;1259;2223;3196;144;2615;14;184;1814;543;60;
;Menos de 15 anos;H;2021;2046;1296;750;346;340;64;0;0;0;0;0;0;0;0;
;;M;2021;1930;1235;695;297;347;51;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;768;8;571;7;135;429;189;0;0;0;0;0;0;0;
;;M;2021;707;6;448;3;65;380;253;0;0;0;0;0;0;0;
;20 - 24 anos;H;2021;801;15;235;8;42;185;399;16;136;13;0;103;20;0;
;;M;2021;884;14;185;9;32;144;476;16;193;4;0;156;33;0;
;25 - 29 anos;H;2021;897;27;217;23;31;163;378;30;245;3;0;149;90;3;
