Place of Residence,Age Group,Gender,Tipo de dificuldade,Não tem nenhuma dificuldade,Tem alguma dificuldade,Tem muita dificuldade,Não consegue efetuar a ação,freguesia_code,municipio,region
Grande Lisboa,Total,H,Ver,600112,166934,17360,2191,1A0,,Grande Lisboa
Grande Lisboa,Total,H,Ouvir,683034,82675,16231,2000,1A0,,Grande Lisboa
Grande Lisboa,Total,H,Andar ou subir degraus,670891,86642,24252,5417,1A0,,Grande Lisboa
Grande Lisboa,Total,H,Memória ou concentração,646979,120569,14294,4284,1A0,,Grande Lisboa
Grande Lisboa,Total,H,Compreender os outros ou fazer-se compreender,746702,31372,6276,2504,1A0,,Grande Lisboa
Grande Lisboa,Total,M,Ver,618614,261878,36400,2424,1A0,,Grande Lisboa
Grande Lisboa,Total,M,Ouvir,787573,101554,24294,2386,1A0,,Grande Lisboa
Grande Lisboa,Total,M,Andar ou subir degraus,698798,153078,57657,10444,1A0,,Grande Lisboa
Grande Lisboa,Total,M,Memória ou concentração,692192,190287,27410,8617,1A0,,Grande Lisboa
Grande Lisboa,Total,M,Compreender os outros ou fazer-se compreender,864757,41663,8752,4352,1A0,,Grande Lisboa
Grande Lisboa,15 - 19 anos,H,Ver,48634,4365,322,47,1A0,,Grande Lisboa
Grande Lisboa,15 - 19 anos,H,Ouvir,52588,544,76,42,1A0,,Grande Lisboa
Grande Lisboa,15 - 19 anos,H,Andar ou subir degraus,52794,379,82,79,1A0,,Grande Lisboa
Grande Lisboa,15 - 19 anos,H,Memória ou concentração,49507,3187,453,132,1A0,,Grande Lisboa
Grande Lisboa,15 - 19 anos,H,Compreender os outros ou fazer-se compreender,51769,1204,208,120,1A0,,Grande Lisboa
Grande Lisboa,15 - 19 anos,M,Ver,44230,6836,544,26,1A0,,Grande Lisboa
Grande Lisboa,15 - 19 anos,M,Ouvir,50722,673,62,31,1A0,,Grande Lisboa
Grande Lisboa,15 - 19 anos,M,Andar ou subir degraus,50799,675,102,72,1A0,,Grande Lisboa
Grande Lisboa,15 - 19 anos,M,Memória ou concentração,47490,3640,353,95,1A0,,Grande Lisboa
Grande Lisboa,15 - 19 anos,M,Compreender os outros ou fazer-se compreender,50524,869,134,64,1A0,,Grande Lisboa
Grande Lisboa,20 - 24 anos,H,Ver,50424,4949,394,63,1A0,,Grande Lisboa
Grande Lisboa,20 - 24 anos,H,Ouvir,54809,731,73,78,1A0,,Grande Lisboa
Grande Lisboa,20 - 24 anos,H,Andar ou subir degraus,55062,552,111,105,1A0,,Grande Lisboa
Grande Lisboa,20 - 24 anos,H,Memória ou concentração,51929,3319,375,141,1A0,,Grande Lisboa
Grande Lisboa,20 - 24 anos,H,Compreender os outros ou fazer-se compreender,54220,1200,229,124,1A0,,Grande Lisboa
Grande Lisboa,20 - 24 anos,M,Ver,46280,8090,585,52,1A0,,Grande Lisboa
Grande Lisboa,20 - 24 anos,M,Ouvir,53678,992,106,55,1A0,,Grande Lisboa
Grande Lisboa,20 - 24 anos,M,Andar ou subir degraus,53736,1066,121,94,1A0,,Grande Lisboa
Grande Lisboa,20 - 24 anos,M,Memória ou concentração,49696,4786,390,99,1A0,,Grande Lisboa
Grande Lisboa,20 - 24 anos,M,Compreender os outros ou fazer-se compreender,53744,1008,144,86,1A0,,Grande Lisboa
Grande Lisboa,25 - 29 anos,H,Ver,52793,5608,427,97,1A0,,Grande Lisboa
Grande Lisboa,25 - 29 anos,H,Ouvir,57410,1104,112,116,1A0,,Grande Lisboa
Grande Lisboa,25 - 29 anos,H,Andar ou subir degraus,57740,859,154,155,1A0,,Grande Lisboa
Grande Lisboa,25 - 29 anos,H,Memória ou concentração,53805,4522,387,136,1A0,,Grande Lisboa
Grande Lisboa,25 - 29 anos,H,Compreender os outros ou fazer-se compreender,56957,1540,249,122,1A0,,Grande Lisboa
Grande Lisboa,25 - 29 anos,M,Ver,49966,9372,585,60,1A0,,Grande Lisboa
Grande Lisboa,25 - 29 anos,M,Ouvir,58252,1358,110,72,1A0,,Grande Lisboa
Grande Lisboa,25 - 29 anos,M,Andar ou subir degraus,58339,1371,161,104,1A0,,Grande Lisboa
Grande Lisboa,25 - 29 anos,M,Memória ou concentração,52980,6393,433,126,1A0,,Grande Lisboa
Grande Lisboa,25 - 29 anos,M,Compreender os outros ou fazer-se compreender,58452,1255,168,85,1A0,,Grande Lisboa
Grande Lisboa,30 - 34 anos,H,Ver,54175,5826,367,97,1A0,,Grande Lisboa
Grande Lisboa,30 - 34 anos,H,Ouvir,58578,1488,123,115,1A0,,Grande Lisboa
Grande Lisboa,30 - 34 anos,H,Andar ou subir degraus,58929,1192,187,140,1A0,,Grande Lisboa
Grande Lisboa,30 - 34 anos,H,Memória ou concentração,54803,5072,354,155,1A0,,Grande Lisboa
Grande Lisboa,30 - 34 anos,H,Compreender os outros ou fazer-se compreender,58321,1736,248,100,1A0,,Grande Lisboa
Grande Lisboa,30 - 34 anos,M,Ver,52314,9982,618,85,1A0,,Grande Lisboa
Grande Lisboa,30 - 34 anos,M,Ouvir,60927,1651,122,116,1A0,,Grande Lisboa
Grande Lisboa,30 - 34 anos,M,Andar ou subir degraus,60798,1918,215,108,1A0,,Grande Lisboa
Grande Lisboa,30 - 34 anos,M,Memória ou concentração,54699,7779,382,137,1A0,,Grande Lisboa
Grande Lisboa,30 - 34 anos,M,Compreender os outros ou fazer-se compreender,61162,1565,196,81,1A0,,Grande Lisboa
Grande Lisboa,35 - 39 anos,H,Ver,57151,6451,409,126,1A0,,Grande Lisboa
Grande Lisboa,35 - 39 anos,H,Ouvir,61785,1900,144,137,1A0,,Grande Lisboa
Grande Lisboa,35 - 39 anos,H,Andar ou subir degraus,61951,1762,288,141,1A0,,Grande Lisboa
Grande Lisboa,35 - 39 anos,H,Memória ou concentração,57853,5701,417,154,1A0,,Grande Lisboa
Grande Lisboa,35 - 39 anos,H,Compreender os outros ou fazer-se compreender,62033,1721,275,100,1A0,,Grande Lisboa
Grande Lisboa,35 - 39 anos,M,Ver,57382,10761,650,110,1A0,,Grande Lisboa
Grande Lisboa,35 - 39 anos,M,Ouvir,66228,2194,157,132,1A0,,Grande Lisboa
Grande Lisboa,35 - 39 anos,M,Andar ou subir degraus,65569,2912,327,133,1A0,,Grande Lisboa
Grande Lisboa,35 - 39 anos,M,Memória ou concentração,59255,8948,531,151,1A0,,Grande Lisboa
