Place of Residence,Age Group,Gender,Total,Nenhum,Ensino básico,1.º ciclo,2.º ciclo,3.º ciclo,Ensino secundário,Ensino pós-secundário,Ensino superior,Curso técnico superior profissional,Bacharelato,Licenciatura,Mestrado,Doutoramento,freguesia_code,municipio,region
Grande Lisboa,Total,H,967149,118757,391205,133835,93264,164106,227000,13432,216755,2212,16091,137570,51786,9096,,,Grande Lisboa
Grande Lisboa,Total,M,1095157,137664,417826,179666,84250,153910,233967,9761,295939,887,21885,197333,66758,9076,,,Grande Lisboa
Grande Lisboa,Menos de 15 anos,H,151273,94279,56994,23826,29214,3954,0,0,0,0,0,0,0,0,,,Grande Lisboa
Grande Lisboa,Menos de 15 anos,M,143611,89251,54360,22334,27793,4233,0,0,0,0,0,0,0,0,,,Grande Lisboa
Grande Lisboa,15 - 19 anos,H,55154,449,36778,343,5155,31280,17792,64,71,71,0,0,0,0,,,Grande Lisboa
Grande Lisboa,15 - 19 anos,M,53311,364,33168,285,3828,29055,19711,32,36,36,0,0,0,0,,,Grande Lisboa
Grande Lisboa,20 - 24 anos,H,57915,824,10987,347,1808,8832,32188,1255,12661,622,0,9913,2111,15,,,Grande Lisboa
Grande Lisboa,20 - 24 anos,M,56803,723,7116,316,1028,5772,30123,906,17935,279,0,14502,3137,17,,,Grande Lisboa
Grande Lisboa,25 - 29 anos,H,61071,1376,11274,640,1972,8662,22664,2095,23662,550,0,13216,9742,154,,,Grande Lisboa
Grande Lisboa,25 - 29 anos,M,61727,1317,7910,448,1369,6093,18718,1435,32347,230,0,17826,14121,170,,,Grande Lisboa
Grande Lisboa,30 - 34 anos,H,62534,1585,13237,965,2653,9619,20296,2268,25148,453,295,13202,10664,534,,,Grande Lisboa
Grande Lisboa,30 - 34 anos,M,64884,1722,9812,696,1846,7270,17826,1559,33965,158,278,18077,14780,672,,,Grande Lisboa
Grande Lisboa,35 - 39 anos,H,66313,1521,16878,1324,3499,12055,20385,2286,25243,423,1566,14629,7760,865,,,Grande Lisboa
Grande Lisboa,35 - 39 anos,M,71027,1894,12510,999,2363,9148,19063,1532,36028,130,1564,23108,10139,1087,,,Grande Lisboa
Grande Lisboa,40 - 44 anos,H,74857,1550,20854,2037,5019,13798,22942,2163,27348,93,1915,18825,5490,1025,,,Grande Lisboa
Grande Lisboa,40 - 44 anos,M,83086,2040,15615,1874,3453,10288,23179,1619,40633,53,1939,30074,7175,1392,,,Grande Lisboa
Grande Lisboa,45 - 49 anos,H,76454,1489,24668,3432,7488,13748,22775,1869,25653,0,2297,17779,4542,1035,,,Grande Lisboa
Grande Lisboa,45 - 49 anos,M,85797,2128,20520,3620,5620,11280,24246,1458,37445,1,2769,27745,5650,1280,,,Grande Lisboa
Grande Lisboa,50 - 54 anos,H,66583,1583,27264,5531,9044,12689,18120,1202,18414,0,1975,11904,3482,1053,,,Grande Lisboa
Grande Lisboa,50 - 54 anos,M,76132,2294,25591,6267,7775,11549,20995,1059,26193,0,2800,18350,3933,1110,,,Grande Lisboa
Grande Lisboa,55 - 59 anos,H,60314,1693,27853,8433,8089,11331,15864,230,14674,0,1707,9083,2738,1146,,,Grande Lisboa
Grande Lisboa,55 - 59 anos,M,71732,2624,29549,10452,7423,11674,18764,160,20635,0,2411,14163,3057,1004,,,Grande Lisboa
Grande Lisboa,60 - 64 anos,H,54173,2073,27230,11683,6392,9155,12547,0,12323,0,1544,7766,2066,947,,,Grande Lisboa
Grande Lisboa,60 - 64 anos,M,67089,3115,32322,14952,6556,10814,15498,1,16153,0,2145,11000,2178,830,,,Grande Lisboa
Grande Lisboa,65 - 69 anos,H,49744,2247,28245,17056,4178,7011,8673,0,10579,0,1475,6928,1387,789,,,Grande Lisboa
Grande Lisboa,65 - 69 anos,M,64031,3928,37014,22732,4506,9776,10648,0,12441,0,2219,8410,1195,617,,,Grande Lisboa
Grande Lisboa,70 - 74 anos,H,47402,2207,31034,19002,3478,8554,5360,0,8801,0,1316,5963,880,642,,,Grande Lisboa
Grande Lisboa,70 - 74 anos,M,62360,3938,42376,27535,3897,10944,6451,0,9595,0,2101,6279,762,453,,,Grande Lisboa
Grande Lisboa,75 ou mais anos,H,83362,5881,57909,39216,5275,13418,7394,0,12178,0,2001,8362,924,891,,,Grande Lisboa
Grande Lisboa,75 ou mais anos,M,133567,22326,89963,67156,6793,16014,8745,0,12533,0,3659,7799,631,444,,,Grande Lisboa
