Place of Residence,Age Group,Gender,Total,Portuguesa,Estrangeira,Europa,Alemanha,Áustria,Bélgica,Bulgária,Espanha,França,Irlanda,Itália,Luxemburgo,Países Baixos,Polónia,Roménia,Suécia,Federação da Rússia,Suíça,Ucrânia,África,África do Sul,Angola,Cabo Verde,Guiné-Bissau,Moçambique,São Tomé e Príncipe,América,Canadá,Estados Unidos da América,Argentina,Brasil,Venezuela,Ásia,Bangladeche,China,Índia,Nepal,Paquistão,Oceânia,freguesia_code,municipio,region
Grande Lisboa,Total,H,967149,803633,163516,30041,2425,109,814,359,2510,6129,210,1915,248,688,171,2185,436,765,1012,3899,69486,1226,25927,14156,8405,11617,4704,45156,437,1459,332,40082,1660,18611,4947,2739,3879,3201,1435,222,,,Grande Lisboa
Grande Lisboa,Total,M,1095157,900795,194362,33900,2585,154,752,448,3025,6733,165,1652,271,607,529,2554,415,1438,1109,4966,89162,1514,34641,19547,8690,14611,7054,58650,535,1429,366,52523,2106,12438,996,2990,2457,2257,638,212,,,Grande Lisboa
Grande Lisboa,0 - 4 anos,H,47448,45211,2237,798,69,3,31,1,96,119,11,22,9,22,7,14,10,11,40,22,382,20,193,41,46,20,41,840,9,68,6,713,22,208,47,34,20,16,20,9,,,Grande Lisboa
Grande Lisboa,0 - 4 anos,M,45272,43019,2253,711,53,6,36,0,83,105,17,23,10,15,4,9,6,10,47,21,435,18,196,60,57,26,43,900,4,72,7,773,16,200,32,34,42,15,19,7,,,Grande Lisboa
Grande Lisboa,5 - 9 anos,H,49718,44296,5422,1216,68,3,44,3,142,217,13,59,10,44,7,23,9,22,75,59,1334,46,661,181,160,59,135,2359,20,129,7,2093,67,497,73,85,77,95,43,16,,,Grande Lisboa
Grande Lisboa,5 - 9 anos,M,46914,41779,5135,1119,75,8,42,1,108,189,16,36,16,32,9,19,12,23,69,76,1308,42,656,187,159,57,119,2231,13,112,7,2008,59,463,49,100,78,63,50,14,,,Grande Lisboa
Grande Lisboa,10 - 14 anos,H,54107,48125,5982,1198,58,2,40,7,207,202,12,62,13,28,7,39,16,38,48,98,2021,44,870,409,314,55,221,2240,12,117,7,1991,70,513,54,114,85,88,59,10,,,Grande Lisboa
Grande Lisboa,10 - 14 anos,M,51425,45682,5743,1162,52,5,47,4,170,158,17,61,23,28,9,47,13,39,39,117,2034,36,843,407,327,74,227,2086,5,95,10,1859,71,453,40,119,59,80,39,8,,,Grande Lisboa
Grande Lisboa,15 - 19 anos,H,55154,48481,6673,1000,68,4,36,12,118,147,9,51,11,21,4,79,11,37,36,99,2690,40,852,670,568,92,292,2416,10,84,10,2197,73,562,50,138,95,109,57,5,,,Grande Lisboa
Grande Lisboa,15 - 19 anos,M,53311,46599,6712,1001,52,4,28,12,103,136,7,50,23,27,6,79,9,24,49,99,2893,47,918,764,510,114,405,2387,11,94,7,2161,56,422,39,119,62,87,33,9,,,Grande Lisboa
Grande Lisboa,20 - 24 anos,H,57915,47200,10715,1632,115,8,45,28,109,193,5,79,21,49,8,136,8,38,94,291,4209,58,1184,1256,853,182,387,3529,8,81,14,3232,105,1337,350,153,315,263,108,8,,,Grande Lisboa
Grande Lisboa,20 - 24 anos,M,56803,45868,10935,1772,142,8,43,24,121,231,5,95,23,49,13,130,13,42,101,337,4617,47,1477,1507,737,211,478,3704,15,64,8,3415,128,833,151,167,70,223,45,9,,,Grande Lisboa
Grande Lisboa,25 - 29 anos,H,61071,45693,15378,2567,171,5,76,28,214,380,11,223,30,62,12,159,18,58,220,371,4476,74,1077,1497,989,127,417,5395,33,104,23,4911,193,2925,979,214,645,706,186,15,,,Grande Lisboa
Grande Lisboa,25 - 29 anos,M,61727,45906,15821,3134,176,25,88,27,263,440,6,266,38,53,80,174,25,113,253,455,5129,75,1298,1861,894,147,634,5943,52,92,32,5395,220,1598,263,259,210,539,68,17,,,Grande Lisboa
Grande Lisboa,30 - 34 anos,H,62534,45454,17080,2773,169,11,65,30,193,483,9,288,26,59,25,196,21,95,185,357,4416,129,1087,1375,912,98,473,6300,70,128,50,5615,260,3560,1320,302,641,785,296,31,,,Grande Lisboa
Grande Lisboa,30 - 34 anos,M,64884,46653,18231,3564,175,16,71,51,248,543,16,269,27,57,117,369,20,208,199,464,5504,137,1388,1983,853,178,684,7278,66,145,54,6477,299,1853,227,337,266,607,103,32,,,Grande Lisboa
